Circuit,Original,Final,Outputs_Removed,Reduction,Time(s),Verification
ladder_logic.aag,0,0,0,0.00%,0.0015,PASS
arbiter_8bit.aag,0,0,1,0.00%,0.0117,FAIL
c499.aag,0,0,0,0.00%,0.0242,PASS
c5315.aag,0,0,7,0.00%,0.7150,FAIL
c1908.aag,0,0,0,0.00%,0.0243,PASS
random_4.aag,0,0,0,0.00%,0.0019,PASS
random_2.aag,0,0,0,0.00%,0.0014,PASS
random_5.aag,0,0,0,0.00%,0.0015,PASS
c432.aag,0,0,0,0.00%,0.0122,PASS
c1355.aag,0,0,0,0.00%,0.0243,PASS
c880.aag,0,0,2,0.00%,0.1552,FAIL
random_3.aag,0,0,0,0.00%,0.0012,PASS
c2670.aag,0,0,3,0.00%,0.3929,FAIL
random_1.aag,0,0,1,0.00%,0.0081,FAIL
c7552.aag,0,0,0,0.00%,0.0952,PASS
alu_8bit.aag,0,0,0,0.00%,0.0120,PASS
c3540.aag,0,0,0,0.00%,0.0634,PASS
c17.aag,0,0,0,0.00%,0.0018,PASS
c6288.aag,0,0,0,0.00%,0.1098,PASS
