ID,Inputs,Gen_Gates,Gates_Before,Gates_After,Removed,Reduction_%
1,13,87,239,239,0,0.0
2,14,235,1987,1987,0,0.0
3,11,81,49,49,0,0.0
4,5,116,74,74,0,0.0
5,11,156,1562,1562,0,0.0
6,19,281,150,150,0,0.0
7,17,138,72,72,0,0.0
8,8,261,13,13,0,0.0
9,16,153,29,29,0,0.0
10,13,270,258,258,0,0.0
11,6,184,295,295,0,0.0
12,13,298,48,48,0,0.0
13,9,292,58,58,0,0.0
14,17,258,134,134,0,0.0
15,12,290,36,36,0,0.0
16,17,108,27,27,0,0.0
17,15,99,492,492,0,0.0
18,17,203,61,61,0,0.0
19,7,148,189,189,0,0.0
20,12,117,860,860,0,0.0
