Circuit,Solver,Wire_ID,Time_Sec,Status,Label
arbiter_8bit.aag,glucose4,22,0.000012,UNSAT,0
arbiter_8bit.aag,glucose4,8,0.000010,UNSAT,0
arbiter_8bit.aag,glucose4,23,0.000003,UNSAT,0
arbiter_8bit.aag,glucose4,15,0.000002,UNSAT,0
arbiter_8bit.aag,glucose4,19,0.000002,UNSAT,0
arbiter_8bit.aag,glucose4,1,0.000002,UNSAT,0
arbiter_8bit.aag,glucose4,5,0.000001,UNSAT,0
arbiter_8bit.aag,glucose4,20,0.000002,UNSAT,0
arbiter_8bit.aag,minisat22,22,0.000007,UNSAT,0
arbiter_8bit.aag,minisat22,8,0.000003,UNSAT,0
arbiter_8bit.aag,minisat22,23,0.000002,UNSAT,0
arbiter_8bit.aag,minisat22,15,0.000002,UNSAT,0
arbiter_8bit.aag,minisat22,19,0.000001,UNSAT,0
arbiter_8bit.aag,minisat22,1,0.000002,UNSAT,0
arbiter_8bit.aag,minisat22,5,0.000002,UNSAT,0
arbiter_8bit.aag,minisat22,20,0.000002,UNSAT,0
arbiter_8bit.aag,maplechrono,22,0.000009,UNSAT,0
arbiter_8bit.aag,maplechrono,8,0.000004,UNSAT,0
arbiter_8bit.aag,maplechrono,23,0.000004,UNSAT,0
arbiter_8bit.aag,maplechrono,15,0.000003,UNSAT,0
arbiter_8bit.aag,maplechrono,19,0.000003,UNSAT,0
arbiter_8bit.aag,maplechrono,1,0.000003,UNSAT,0
arbiter_8bit.aag,maplechrono,5,0.000003,UNSAT,0
arbiter_8bit.aag,maplechrono,20,0.000003,UNSAT,0
arbiter_8bit.aag,cadical153,22,0.000012,UNSAT,0
arbiter_8bit.aag,cadical153,8,0.000008,UNSAT,0
arbiter_8bit.aag,cadical153,23,0.000002,UNSAT,0
arbiter_8bit.aag,cadical153,15,0.000002,UNSAT,0
arbiter_8bit.aag,cadical153,19,0.000002,UNSAT,0
arbiter_8bit.aag,cadical153,1,0.000001,UNSAT,0
arbiter_8bit.aag,cadical153,5,0.000001,UNSAT,0
arbiter_8bit.aag,cadical153,20,0.000002,UNSAT,0
arbiter_8bit.aag,lingeling,22,0.000781,UNSAT,0
arbiter_8bit.aag,lingeling,8,0.000015,UNSAT,0
arbiter_8bit.aag,lingeling,23,0.000016,UNSAT,0
arbiter_8bit.aag,lingeling,15,0.000009,UNSAT,0
arbiter_8bit.aag,lingeling,19,0.000008,UNSAT,0
arbiter_8bit.aag,lingeling,1,0.000007,UNSAT,0
arbiter_8bit.aag,lingeling,5,0.000007,UNSAT,0
arbiter_8bit.aag,lingeling,20,0.000007,UNSAT,0
c499.aag,glucose4,550,0.000057,SAT,1
c499.aag,glucose4,551,0.000026,SAT,1
c499.aag,glucose4,552,0.000020,SAT,1
c499.aag,glucose4,553,0.000017,SAT,1
c499.aag,glucose4,554,0.000016,SAT,1
c499.aag,glucose4,555,0.000016,SAT,1
c499.aag,glucose4,556,0.000017,SAT,1
c499.aag,glucose4,557,0.000016,SAT,1
c499.aag,glucose4,558,0.000016,SAT,1
c499.aag,glucose4,559,0.000016,SAT,1
c499.aag,glucose4,560,0.000016,SAT,1
c499.aag,glucose4,561,0.000017,SAT,1
c499.aag,glucose4,562,0.000017,SAT,1
c499.aag,glucose4,563,0.000017,SAT,1
c499.aag,glucose4,564,0.000017,SAT,1
c499.aag,glucose4,565,0.000017,SAT,1
c499.aag,glucose4,566,0.000017,SAT,1
c499.aag,glucose4,567,0.000017,SAT,1
c499.aag,glucose4,568,0.000046,SAT,1
c499.aag,glucose4,569,0.000034,SAT,1
c499.aag,glucose4,570,0.000023,SAT,1
c499.aag,glucose4,571,0.000021,SAT,1
c499.aag,glucose4,572,0.000021,SAT,1
c499.aag,glucose4,573,0.000018,SAT,1
c499.aag,glucose4,574,0.000018,SAT,1
c499.aag,glucose4,575,0.000023,SAT,1
c499.aag,glucose4,576,0.000019,SAT,1
c499.aag,glucose4,577,0.000018,SAT,1
c499.aag,glucose4,578,0.000019,SAT,1
c499.aag,glucose4,579,0.000017,SAT,1
c499.aag,glucose4,580,0.000017,SAT,1
c499.aag,glucose4,581,0.000017,SAT,1
c499.aag,minisat22,550,0.000050,SAT,1
c499.aag,minisat22,551,0.000023,SAT,1
c499.aag,minisat22,552,0.000019,SAT,1
c499.aag,minisat22,553,0.000016,SAT,1
c499.aag,minisat22,554,0.000015,SAT,1
c499.aag,minisat22,555,0.000015,SAT,1
c499.aag,minisat22,556,0.000018,SAT,1
c499.aag,minisat22,557,0.000015,SAT,1
c499.aag,minisat22,558,0.000015,SAT,1
c499.aag,minisat22,559,0.000015,SAT,1
c499.aag,minisat22,560,0.000015,SAT,1
c499.aag,minisat22,561,0.000015,SAT,1
c499.aag,minisat22,562,0.000015,SAT,1
c499.aag,minisat22,563,0.000016,SAT,1
c499.aag,minisat22,564,0.000015,SAT,1
c499.aag,minisat22,565,0.000015,SAT,1
c499.aag,minisat22,566,0.000015,SAT,1
c499.aag,minisat22,567,0.000015,SAT,1
c499.aag,minisat22,568,0.000016,SAT,1
c499.aag,minisat22,569,0.000015,SAT,1
c499.aag,minisat22,570,0.000016,SAT,1
c499.aag,minisat22,571,0.000017,SAT,1
c499.aag,minisat22,572,0.000018,SAT,1
c499.aag,minisat22,573,0.000016,SAT,1
c499.aag,minisat22,574,0.000016,SAT,1
c499.aag,minisat22,575,0.000021,SAT,1
c499.aag,minisat22,576,0.000017,SAT,1
c499.aag,minisat22,577,0.000015,SAT,1
c499.aag,minisat22,578,0.000015,SAT,1
c499.aag,minisat22,579,0.000016,SAT,1
c499.aag,minisat22,580,0.000024,SAT,1
c499.aag,minisat22,581,0.000023,SAT,1
c499.aag,maplechrono,550,0.000064,SAT,1
c499.aag,maplechrono,551,0.000028,SAT,1
c499.aag,maplechrono,552,0.000021,SAT,1
c499.aag,maplechrono,553,0.000018,SAT,1
c499.aag,maplechrono,554,0.000018,SAT,1
c499.aag,maplechrono,555,0.000018,SAT,1
c499.aag,maplechrono,556,0.000019,SAT,1
c499.aag,maplechrono,557,0.000018,SAT,1
c499.aag,maplechrono,558,0.000019,SAT,1
c499.aag,maplechrono,559,0.000020,SAT,1
c499.aag,maplechrono,560,0.000018,SAT,1
c499.aag,maplechrono,561,0.000020,SAT,1
c499.aag,maplechrono,562,0.000020,SAT,1
c499.aag,maplechrono,563,0.000020,SAT,1
c499.aag,maplechrono,564,0.000019,SAT,1
c499.aag,maplechrono,565,0.000019,SAT,1
c499.aag,maplechrono,566,0.000020,SAT,1
c499.aag,maplechrono,567,0.000019,SAT,1
c499.aag,maplechrono,568,0.000020,SAT,1
c499.aag,maplechrono,569,0.000019,SAT,1
c499.aag,maplechrono,570,0.000020,SAT,1
c499.aag,maplechrono,571,0.000022,SAT,1
c499.aag,maplechrono,572,0.000024,SAT,1
c499.aag,maplechrono,573,0.000020,SAT,1
c499.aag,maplechrono,574,0.000021,SAT,1
c499.aag,maplechrono,575,0.000021,SAT,1
c499.aag,maplechrono,576,0.000016,SAT,1
c499.aag,maplechrono,577,0.000015,SAT,1
c499.aag,maplechrono,578,0.000016,SAT,1
c499.aag,maplechrono,579,0.000015,SAT,1
c499.aag,maplechrono,580,0.000014,SAT,1
c499.aag,maplechrono,581,0.000014,SAT,1
c499.aag,cadical153,550,0.000487,SAT,1
c499.aag,cadical153,551,0.000024,SAT,1
c499.aag,cadical153,552,0.000014,SAT,1
c499.aag,cadical153,553,0.000011,SAT,1
c499.aag,cadical153,554,0.000011,SAT,1
c499.aag,cadical153,555,0.000011,SAT,1
c499.aag,cadical153,556,0.000010,SAT,1
c499.aag,cadical153,557,0.000010,SAT,1
c499.aag,cadical153,558,0.000010,SAT,1
c499.aag,cadical153,559,0.000010,SAT,1
c499.aag,cadical153,560,0.000010,SAT,1
c499.aag,cadical153,561,0.000010,SAT,1
c499.aag,cadical153,562,0.000010,SAT,1
c499.aag,cadical153,563,0.000010,SAT,1
c499.aag,cadical153,564,0.000010,SAT,1
c499.aag,cadical153,565,0.000010,SAT,1
c499.aag,cadical153,566,0.000010,SAT,1
c499.aag,cadical153,567,0.000010,SAT,1
c499.aag,cadical153,568,0.000010,SAT,1
c499.aag,cadical153,569,0.000010,SAT,1
c499.aag,cadical153,570,0.000010,SAT,1
c499.aag,cadical153,571,0.000010,SAT,1
c499.aag,cadical153,572,0.000010,SAT,1
c499.aag,cadical153,573,0.000010,SAT,1
c499.aag,cadical153,574,0.000010,SAT,1
c499.aag,cadical153,575,0.000010,SAT,1
c499.aag,cadical153,576,0.000010,SAT,1
c499.aag,cadical153,577,0.000010,SAT,1
c499.aag,cadical153,578,0.000010,SAT,1
c499.aag,cadical153,579,0.000010,SAT,1
c499.aag,cadical153,580,0.000010,SAT,1
c499.aag,cadical153,581,0.000010,SAT,1
c499.aag,lingeling,550,0.000133,SAT,1
c499.aag,lingeling,551,0.000160,SAT,1
c499.aag,lingeling,552,0.000148,SAT,1
c499.aag,lingeling,553,0.000132,SAT,1
c499.aag,lingeling,554,0.000121,SAT,1
c499.aag,lingeling,555,0.000126,SAT,1
c499.aag,lingeling,556,0.000126,SAT,1
c499.aag,lingeling,557,0.000125,SAT,1
c499.aag,lingeling,558,0.000117,SAT,1
c499.aag,lingeling,559,0.000144,SAT,1
c499.aag,lingeling,560,0.000143,SAT,1
c499.aag,lingeling,561,0.000122,SAT,1
c499.aag,lingeling,562,0.000098,SAT,1
c499.aag,lingeling,563,0.000101,SAT,1
c499.aag,lingeling,564,0.000101,SAT,1
c499.aag,lingeling,565,0.000119,SAT,1
c499.aag,lingeling,566,0.000098,SAT,1
c499.aag,lingeling,567,0.000100,SAT,1
c499.aag,lingeling,568,0.000100,SAT,1
c499.aag,lingeling,569,0.000097,SAT,1
c499.aag,lingeling,570,0.000093,SAT,1
c499.aag,lingeling,571,0.000097,SAT,1
c499.aag,lingeling,572,0.000097,SAT,1
c499.aag,lingeling,573,0.000100,SAT,1
c499.aag,lingeling,574,0.000103,SAT,1
c499.aag,lingeling,575,0.000101,SAT,1
c499.aag,lingeling,576,0.000103,SAT,1
c499.aag,lingeling,577,0.000099,SAT,1
c499.aag,lingeling,578,0.000095,SAT,1
c499.aag,lingeling,579,0.000099,SAT,1
c499.aag,lingeling,580,0.000108,SAT,1
c499.aag,lingeling,581,0.000100,SAT,1
c5315.aag,glucose4,1685,0.000010,UNSAT,0
c5315.aag,glucose4,1686,0.000002,UNSAT,0
c5315.aag,glucose4,1687,0.000001,UNSAT,0
c5315.aag,glucose4,1258,0.000001,UNSAT,0
c5315.aag,glucose4,1436,0.000001,UNSAT,0
c5315.aag,glucose4,1688,0.000001,UNSAT,0
c5315.aag,glucose4,1590,0.000001,UNSAT,0
c5315.aag,glucose4,1689,0.000002,UNSAT,0
c5315.aag,glucose4,1228,0.000001,UNSAT,0
c5315.aag,glucose4,1656,0.000001,UNSAT,0
c5315.aag,glucose4,410,0.000001,UNSAT,0
c5315.aag,glucose4,1690,0.000001,UNSAT,0
c5315.aag,glucose4,1691,0.000001,UNSAT,0
c5315.aag,glucose4,1631,0.000001,UNSAT,0
c5315.aag,glucose4,1016,0.000001,UNSAT,0
c5315.aag,glucose4,1607,0.000001,UNSAT,0
c5315.aag,glucose4,1189,0.000001,UNSAT,0
c5315.aag,glucose4,1692,0.000001,UNSAT,0
c5315.aag,glucose4,1693,0.000001,UNSAT,0
c5315.aag,glucose4,1694,0.000001,UNSAT,0
c5315.aag,glucose4,1624,0.000001,UNSAT,0
c5315.aag,glucose4,1695,0.000001,UNSAT,0
c5315.aag,glucose4,441,0.000001,UNSAT,0
c5315.aag,glucose4,1696,0.000026,UNSAT,0
c5315.aag,glucose4,1068,0.000003,UNSAT,0
c5315.aag,glucose4,1697,0.000002,UNSAT,0
c5315.aag,glucose4,1672,0.000001,UNSAT,0
c5315.aag,glucose4,1698,0.000001,UNSAT,0
c5315.aag,glucose4,1436,0.000001,UNSAT,0
c5315.aag,glucose4,1205,0.000001,UNSAT,0
c5315.aag,glucose4,1606,0.000001,UNSAT,0
c5315.aag,glucose4,1080,0.000001,UNSAT,0
c5315.aag,glucose4,1699,0.000001,UNSAT,0
c5315.aag,glucose4,1700,0.000001,UNSAT,0
c5315.aag,glucose4,1701,0.000001,UNSAT,0
c5315.aag,glucose4,1169,0.000001,UNSAT,0
c5315.aag,glucose4,1702,0.000001,UNSAT,0
c5315.aag,glucose4,1684,0.000001,UNSAT,0
c5315.aag,glucose4,1683,0.000001,UNSAT,0
c5315.aag,glucose4,1451,0.000001,UNSAT,0
c5315.aag,glucose4,392,0.000001,UNSAT,0
c5315.aag,glucose4,1703,0.000001,UNSAT,0
c5315.aag,glucose4,1704,0.000001,UNSAT,0
c5315.aag,glucose4,1705,0.000001,UNSAT,0
c5315.aag,glucose4,1706,0.000001,UNSAT,0
c5315.aag,glucose4,1684,0.000001,UNSAT,0
c5315.aag,glucose4,1498,0.000001,UNSAT,0
c5315.aag,glucose4,1219,0.000001,UNSAT,0
c5315.aag,glucose4,1405,0.000001,UNSAT,0
c5315.aag,glucose4,1498,0.000001,UNSAT,0
c5315.aag,glucose4,373,0.000001,UNSAT,0
c5315.aag,glucose4,1499,0.000001,UNSAT,0
c5315.aag,glucose4,1707,0.000001,UNSAT,0
c5315.aag,glucose4,1599,0.000001,UNSAT,0
c5315.aag,glucose4,985,0.000001,UNSAT,0
c5315.aag,glucose4,365,0.000001,UNSAT,0
c5315.aag,glucose4,1564,0.000001,UNSAT,0
c5315.aag,glucose4,767,0.000001,UNSAT,0
c5315.aag,glucose4,1708,0.000001,UNSAT,0
c5315.aag,glucose4,1709,0.000001,UNSAT,0
c5315.aag,glucose4,1181,0.000001,UNSAT,0
c5315.aag,glucose4,1710,0.000001,UNSAT,0
c5315.aag,glucose4,1711,0.000001,UNSAT,0
c5315.aag,glucose4,1712,0.000001,UNSAT,0
c5315.aag,glucose4,1713,0.000001,UNSAT,0
c5315.aag,glucose4,1247,0.000001,UNSAT,0
c5315.aag,glucose4,1714,0.000001,UNSAT,0
c5315.aag,glucose4,1715,0.000001,UNSAT,0
c5315.aag,glucose4,183,0.000001,UNSAT,0
c5315.aag,glucose4,1716,0.000001,UNSAT,0
c5315.aag,glucose4,1717,0.000001,UNSAT,0
c5315.aag,glucose4,1096,0.000001,UNSAT,0
c5315.aag,glucose4,1718,0.000001,UNSAT,0
c5315.aag,glucose4,1719,0.000001,UNSAT,0
c5315.aag,glucose4,1508,0.000001,UNSAT,0
c5315.aag,glucose4,1113,0.000001,UNSAT,0
c5315.aag,glucose4,1720,0.000001,UNSAT,0
c5315.aag,glucose4,440,0.000001,UNSAT,0
c5315.aag,glucose4,1721,0.000001,UNSAT,0
c5315.aag,glucose4,1722,0.000001,UNSAT,0
c5315.aag,glucose4,1403,0.000001,UNSAT,0
c5315.aag,glucose4,1042,0.000001,UNSAT,0
c5315.aag,glucose4,1081,0.000001,UNSAT,0
c5315.aag,glucose4,1723,0.000001,UNSAT,0
c5315.aag,glucose4,1540,0.000001,UNSAT,0
c5315.aag,glucose4,1498,0.000001,UNSAT,0
c5315.aag,glucose4,1724,0.000001,UNSAT,0
c5315.aag,glucose4,457,0.000001,UNSAT,0
c5315.aag,glucose4,1725,0.000001,UNSAT,0
c5315.aag,glucose4,1726,0.000001,UNSAT,0
c5315.aag,glucose4,270,0.000001,UNSAT,0
c5315.aag,glucose4,1080,0.000001,UNSAT,0
c5315.aag,glucose4,1131,0.000001,UNSAT,0
c5315.aag,glucose4,1673,0.000001,UNSAT,0
c5315.aag,glucose4,365,0.000001,UNSAT,0
c5315.aag,glucose4,1727,0.000001,UNSAT,0
c5315.aag,glucose4,1728,0.000001,UNSAT,0
c5315.aag,glucose4,1729,0.000001,UNSAT,0
c5315.aag,glucose4,1730,0.000001,UNSAT,0
c5315.aag,glucose4,1663,0.000001,UNSAT,0
c5315.aag,glucose4,247,0.000001,UNSAT,0
c5315.aag,glucose4,1128,0.000001,UNSAT,0
c5315.aag,glucose4,1529,0.000001,UNSAT,0
c5315.aag,glucose4,1484,0.000001,UNSAT,0
c5315.aag,glucose4,1003,0.000001,UNSAT,0
c5315.aag,glucose4,1731,0.000001,UNSAT,0
c5315.aag,glucose4,1732,0.000001,UNSAT,0
c5315.aag,glucose4,1088,0.000001,UNSAT,0
c5315.aag,glucose4,1733,0.000001,UNSAT,0
c5315.aag,glucose4,1734,0.000001,UNSAT,0
c5315.aag,glucose4,1416,0.000001,UNSAT,0
c5315.aag,glucose4,1498,0.000001,UNSAT,0
c5315.aag,glucose4,1735,0.000001,UNSAT,0
c5315.aag,glucose4,749,0.000001,UNSAT,0
c5315.aag,glucose4,1152,0.000001,UNSAT,0
c5315.aag,glucose4,1498,0.000001,UNSAT,0
c5315.aag,glucose4,1736,0.000001,UNSAT,0
c5315.aag,glucose4,1549,0.000001,UNSAT,0
c5315.aag,glucose4,1737,0.000001,UNSAT,0
c5315.aag,glucose4,428,0.000001,UNSAT,0
c5315.aag,glucose4,1738,0.000001,UNSAT,0
c5315.aag,glucose4,785,0.000001,UNSAT,0
c5315.aag,glucose4,1581,0.000001,UNSAT,0
c5315.aag,minisat22,1685,0.000006,UNSAT,0
c5315.aag,minisat22,1686,0.000002,UNSAT,0
c5315.aag,minisat22,1687,0.000001,UNSAT,0
c5315.aag,minisat22,1258,0.000002,UNSAT,0
c5315.aag,minisat22,1436,0.000001,UNSAT,0
c5315.aag,minisat22,1688,0.000001,UNSAT,0
c5315.aag,minisat22,1590,0.000001,UNSAT,0
c5315.aag,minisat22,1689,0.000001,UNSAT,0
c5315.aag,minisat22,1228,0.000002,UNSAT,0
c5315.aag,minisat22,1656,0.000001,UNSAT,0
c5315.aag,minisat22,410,0.000001,UNSAT,0
c5315.aag,minisat22,1690,0.000001,UNSAT,0
c5315.aag,minisat22,1691,0.000001,UNSAT,0
c5315.aag,minisat22,1631,0.000001,UNSAT,0
c5315.aag,minisat22,1016,0.000001,UNSAT,0
c5315.aag,minisat22,1607,0.000001,UNSAT,0
c5315.aag,minisat22,1189,0.000001,UNSAT,0
c5315.aag,minisat22,1692,0.000001,UNSAT,0
c5315.aag,minisat22,1693,0.000002,UNSAT,0
c5315.aag,minisat22,1694,0.000001,UNSAT,0
c5315.aag,minisat22,1624,0.000001,UNSAT,0
c5315.aag,minisat22,1695,0.000001,UNSAT,0
c5315.aag,minisat22,441,0.000001,UNSAT,0
c5315.aag,minisat22,1696,0.000001,UNSAT,0
c5315.aag,minisat22,1068,0.000002,UNSAT,0
c5315.aag,minisat22,1697,0.000002,UNSAT,0
c5315.aag,minisat22,1672,0.000001,UNSAT,0
c5315.aag,minisat22,1698,0.000001,UNSAT,0
c5315.aag,minisat22,1436,0.000001,UNSAT,0
c5315.aag,minisat22,1205,0.000001,UNSAT,0
c5315.aag,minisat22,1606,0.000001,UNSAT,0
c5315.aag,minisat22,1080,0.000001,UNSAT,0
c5315.aag,minisat22,1699,0.000001,UNSAT,0
c5315.aag,minisat22,1700,0.000001,UNSAT,0
c5315.aag,minisat22,1701,0.000001,UNSAT,0
c5315.aag,minisat22,1169,0.000001,UNSAT,0
c5315.aag,minisat22,1702,0.000001,UNSAT,0
c5315.aag,minisat22,1684,0.000001,UNSAT,0
c5315.aag,minisat22,1683,0.000001,UNSAT,0
c5315.aag,minisat22,1451,0.000001,UNSAT,0
c5315.aag,minisat22,392,0.000001,UNSAT,0
c5315.aag,minisat22,1703,0.000002,UNSAT,0
c5315.aag,minisat22,1704,0.000001,UNSAT,0
c5315.aag,minisat22,1705,0.000001,UNSAT,0
c5315.aag,minisat22,1706,0.000001,UNSAT,0
c5315.aag,minisat22,1684,0.000002,UNSAT,0
c5315.aag,minisat22,1498,0.000001,UNSAT,0
c5315.aag,minisat22,1219,0.000002,UNSAT,0
c5315.aag,minisat22,1405,0.000002,UNSAT,0
c5315.aag,minisat22,1498,0.000001,UNSAT,0
c5315.aag,minisat22,373,0.000001,UNSAT,0
c5315.aag,minisat22,1499,0.000001,UNSAT,0
c5315.aag,minisat22,1707,0.000001,UNSAT,0
c5315.aag,minisat22,1599,0.000002,UNSAT,0
c5315.aag,minisat22,985,0.000001,UNSAT,0
c5315.aag,minisat22,365,0.000001,UNSAT,0
c5315.aag,minisat22,1564,0.000001,UNSAT,0
c5315.aag,minisat22,767,0.000001,UNSAT,0
c5315.aag,minisat22,1708,0.000001,UNSAT,0
c5315.aag,minisat22,1709,0.000001,UNSAT,0
c5315.aag,minisat22,1181,0.000001,UNSAT,0
c5315.aag,minisat22,1710,0.000001,UNSAT,0
c5315.aag,minisat22,1711,0.000001,UNSAT,0
c5315.aag,minisat22,1712,0.000001,UNSAT,0
c5315.aag,minisat22,1713,0.000001,UNSAT,0
c5315.aag,minisat22,1247,0.000001,UNSAT,0
c5315.aag,minisat22,1714,0.000001,UNSAT,0
c5315.aag,minisat22,1715,0.000001,UNSAT,0
c5315.aag,minisat22,183,0.000001,UNSAT,0
c5315.aag,minisat22,1716,0.000004,UNSAT,0
c5315.aag,minisat22,1717,0.000002,UNSAT,0
c5315.aag,minisat22,1096,0.000001,UNSAT,0
c5315.aag,minisat22,1718,0.000001,UNSAT,0
c5315.aag,minisat22,1719,0.000001,UNSAT,0
c5315.aag,minisat22,1508,0.000001,UNSAT,0
c5315.aag,minisat22,1113,0.000001,UNSAT,0
c5315.aag,minisat22,1720,0.000001,UNSAT,0
c5315.aag,minisat22,440,0.000001,UNSAT,0
c5315.aag,minisat22,1721,0.000001,UNSAT,0
c5315.aag,minisat22,1722,0.000001,UNSAT,0
c5315.aag,minisat22,1403,0.000001,UNSAT,0
c5315.aag,minisat22,1042,0.000002,UNSAT,0
c5315.aag,minisat22,1081,0.000001,UNSAT,0
c5315.aag,minisat22,1723,0.000001,UNSAT,0
c5315.aag,minisat22,1540,0.000001,UNSAT,0
c5315.aag,minisat22,1498,0.000001,UNSAT,0
c5315.aag,minisat22,1724,0.000001,UNSAT,0
c5315.aag,minisat22,457,0.000002,UNSAT,0
c5315.aag,minisat22,1725,0.000001,UNSAT,0
c5315.aag,minisat22,1726,0.000001,UNSAT,0
c5315.aag,minisat22,270,0.000002,UNSAT,0
c5315.aag,minisat22,1080,0.000001,UNSAT,0
c5315.aag,minisat22,1131,0.000001,UNSAT,0
c5315.aag,minisat22,1673,0.000001,UNSAT,0
c5315.aag,minisat22,365,0.000001,UNSAT,0
c5315.aag,minisat22,1727,0.000001,UNSAT,0
c5315.aag,minisat22,1728,0.000001,UNSAT,0
c5315.aag,minisat22,1729,0.000001,UNSAT,0
c5315.aag,minisat22,1730,0.000002,UNSAT,0
c5315.aag,minisat22,1663,0.000002,UNSAT,0
c5315.aag,minisat22,247,0.000001,UNSAT,0
