Circuit,Solver,Wire_ID,Time_Sec,Status,Method
arbiter_8bit.aag,glucose4,18,0.000011,UNSAT (REDUNDANT),PYSAT
arbiter_8bit.aag,glucose4,19,0.000001,SAT,SIMULATION
arbiter_8bit.aag,glucose4,23,0.000001,SAT,SIMULATION
arbiter_8bit.aag,glucose4,22,0.000001,SAT,SIMULATION
arbiter_8bit.aag,glucose4,2,0.000001,SAT,SIMULATION
arbiter_8bit.aag,glucose4,5,0.000001,SAT,SIMULATION
arbiter_8bit.aag,glucose4,14,0.000004,UNSAT (REDUNDANT),PYSAT
arbiter_8bit.aag,glucose4,20,0.000001,SAT,SIMULATION
c499.aag,glucose4,550,0.000001,SAT,SIMULATION
c499.aag,glucose4,551,0.000001,SAT,SIMULATION
c499.aag,glucose4,552,0.000001,SAT,SIMULATION
c499.aag,glucose4,553,0.000001,SAT,SIMULATION
c499.aag,glucose4,554,0.000001,SAT,SIMULATION
c499.aag,glucose4,555,0.000001,SAT,SIMULATION
c499.aag,glucose4,556,0.000001,SAT,SIMULATION
c499.aag,glucose4,557,0.000001,SAT,SIMULATION
c499.aag,glucose4,558,0.000001,SAT,SIMULATION
c499.aag,glucose4,559,0.000001,SAT,SIMULATION
c499.aag,glucose4,560,0.000001,SAT,SIMULATION
c499.aag,glucose4,561,0.000001,SAT,SIMULATION
c499.aag,glucose4,562,0.000001,SAT,SIMULATION
c499.aag,glucose4,563,0.000001,SAT,SIMULATION
c499.aag,glucose4,564,0.000001,SAT,SIMULATION
c499.aag,glucose4,565,0.000001,SAT,SIMULATION
c499.aag,glucose4,566,0.000001,SAT,SIMULATION
c499.aag,glucose4,567,0.000001,SAT,SIMULATION
c499.aag,glucose4,568,0.000001,SAT,SIMULATION
c499.aag,glucose4,569,0.000001,SAT,SIMULATION
c499.aag,glucose4,570,0.000001,SAT,SIMULATION
c499.aag,glucose4,571,0.000001,SAT,SIMULATION
c499.aag,glucose4,572,0.000001,SAT,SIMULATION
c499.aag,glucose4,573,0.000001,SAT,SIMULATION
c499.aag,glucose4,574,0.000001,SAT,SIMULATION
c499.aag,glucose4,575,0.000001,SAT,SIMULATION
c499.aag,glucose4,576,0.000001,SAT,SIMULATION
c499.aag,glucose4,577,0.000001,SAT,SIMULATION
c499.aag,glucose4,578,0.000001,SAT,SIMULATION
c499.aag,glucose4,579,0.000001,SAT,SIMULATION
c499.aag,glucose4,580,0.000001,SAT,SIMULATION
