Flow,Rows,CEC_PASS,CEC_FAIL_OR_OTHER,Timeout_or_Error,Area_Saved_AND2,Area_Red%,T_Total(s)
dc2_fraig,33,32,1,0,62111,24.14%,219.1309
dch_resyn2,33,32,0,1,55431,21.54%,57.4808
dc2,33,32,1,0,41628,16.18%,215.8231
resyn2x2,33,33,0,0,41338,8.76%,101.7286
resyn2,33,33,0,0,39183,8.31%,69.3046
fraig,33,33,0,0,31565,6.69%,29.5858
rewrite,33,33,0,0,25683,5.45%,13.7226
refactor,33,33,0,0,7031,1.49%,31.2221
balance,33,33,0,0,842,0.18%,10.6086
strash,33,33,0,0,2,0.00%,2.6623
dch,33,32,0,1,-80021,-31.10%,51.3858
