key,short,status,complete,removed,unresolved,current_gates,initial_gates,generation,cec_pass,cec_fail,sat_reject,timeout,unsat_proposed,worker_errors,util,elapsed_s,run
epfl_arithmetic_sin,sin,COMPLETE,True,53,0,5363,5416,2,2,0,21461,1607,3,0,0.15663300814980538,52587.85963726044,results_optimized/parallel_tfo_native_tfo_continue_sin_until_complete_fixed_20260620_1438
iscas_c7552,c7552,COMPLETE,True,14,0,1679,1693,5,5,0,5863,0,7,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
epfl_random_control_router,router,COMPLETE,True,6,0,251,257,3,3,0,1443,0,3,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
iscas_c3540,c3540,COMPLETE,True,4,0,948,952,2,2,0,2390,0,2,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
iscas_c432,c432,COMPLETE,True,4,0,121,125,2,2,0,336,0,2,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
iscas_c5315,c5315,COMPLETE,True,4,0,1504,1508,1,1,0,3279,0,1,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
epfl_arithmetic_adder,adder,COMPLETE,True,0,0,1020,1020,0,0,0,2040,0,0,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
epfl_arithmetic_bar,bar,COMPLETE,True,0,0,3336,3336,0,0,0,6672,0,0,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
epfl_arithmetic_max,max,COMPLETE,True,0,0,2865,2865,0,0,0,5730,0,0,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
epfl_arithmetic_multiplier,multiplier,COMPLETE,True,0,0,27062,27062,0,0,0,54124,8071,0,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
epfl_arithmetic_square,square,COMPLETE,True,0,0,18484,18484,0,0,0,36968,3,0,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
epfl_random_control_arbiter,arbiter,COMPLETE,True,0,0,11839,11839,0,0,0,23678,0,0,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
epfl_random_control_cavlc,cavlc,COMPLETE,True,0,0,693,693,0,0,0,1386,0,0,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
epfl_random_control_ctrl,ctrl,COMPLETE,True,0,0,174,174,0,0,0,348,0,0,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
epfl_random_control_dec,dec,COMPLETE,True,0,0,304,304,0,0,0,608,0,0,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
epfl_random_control_i2c,i2c,COMPLETE,True,0,0,1342,1342,0,0,0,2684,0,0,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
epfl_random_control_int2float,int2float,COMPLETE,True,0,0,260,260,0,0,0,520,0,0,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
epfl_random_control_priority,priority,COMPLETE,True,0,0,978,978,0,0,0,1956,0,0,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
iscas_alu_8bit,alu_8bit,COMPLETE,True,0,0,224,224,0,0,0,448,0,0,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
iscas_arbiter_8bit,arbiter_8bit,COMPLETE,True,0,0,15,15,0,0,0,30,0,0,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
iscas_c1355,c1355,COMPLETE,True,0,0,508,508,0,0,0,1016,0,0,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
iscas_c17,c17,COMPLETE,True,0,0,6,6,0,0,0,12,0,0,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
iscas_c1908,c1908,COMPLETE,True,0,0,410,410,0,0,0,820,0,0,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
iscas_c2670,c2670,COMPLETE,True,0,0,650,650,0,0,0,1300,0,0,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
iscas_c499,c499,COMPLETE,True,0,0,508,508,0,0,0,1016,0,0,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
iscas_c6288,c6288,COMPLETE,True,0,0,1870,1870,0,0,0,3740,0,0,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
iscas_c880,c880,COMPLETE,True,0,0,325,325,0,0,0,650,0,0,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
epfl_arithmetic_sqrt,sqrt,TIME_BUDGET_CHECKPOINT,False,56,362,24562,24618,0,0,0,0,2,0,0,0.9036190354632202,44.0328152179718,results_optimized/native_tfo_continue_best_sqrt_smoke_20260622
epfl_arithmetic_hyp,hyp,TIME_BUDGET_CHECKPOINT,False,4,923,214331,214335,0,0,0,1,23,0,0,0.8943033640826882,14420.332165241241,results_optimized/parallel_tfo_native_tfo_main_continue_2026-06-17_14-54-38
epfl_random_control_voter,voter,TIME_BUDGET_CHECKPOINT,False,696,17097,13062,13758,29,29,0,295769,925,270,0,0.9345363303807561,25201.725193977356,results_optimized/parallel_tfo_native_tfo_next_sqrt_voter_20260621_111740
epfl_random_control_mem_ctrl,mem_ctrl,TIME_BUDGET_CHECKPOINT,False,131,34003,46705,46836,12,12,0,606399,0,17,0,0.4887097388913347,14400.784317970276,results_optimized/parallel_tfo_native_tfo_mem_ctrl_4h_20260617_224643
epfl_arithmetic_log2,log2,TIME_BUDGET_CHECKPOINT,False,422,39927,31638,32060,0,0,0,1814,1234,0,0,0.8943033640826882,14420.332165241241,results_optimized/parallel_tfo_native_tfo_main_continue_2026-06-17_14-54-38
epfl_arithmetic_div,div,TIME_BUDGET_CHECKPOINT,False,21,66679,57226,57247,5,5,0,61489,36781,8,0,0.7059903910568751,172812.36614465714,results_optimized/parallel_tfo_native_tfo_main_iscas-epfl_all_2026-06-18_04-19-57
