Flow,Circuits,Residual_Gates_Removed,SAT_Reject,UNSAT_Proposed,Timeout,CEC_Pass_Commits,Worker_Errors,Remaining_Obligations,Elapsed_s
dch,32,131495,1203,63,1,32,0,410636,93.05091571807861
strash,33,9,317,1,0,1,0,943024,96.65307402610779
balance,33,9,301,1,4,1,0,941360,96.91989493370056
fraig,33,5,336,1,2,1,0,879887,96.74333500862122
dch_resyn2,32,3,795,1,0,1,0,403034,93.05262589454651
rewrite,33,0,344,0,1,0,0,891646,99.0347547531128
refactor,33,0,325,0,2,0,0,928969,97.32160592079163
dc2,32,0,758,0,1,0,0,430672,93.65807700157166
resyn2,33,0,353,0,1,0,0,864637,99.05156469345093
resyn2x2,33,0,346,0,0,0,0,860334,98.77635335922241
dc2_fraig,32,0,819,0,1,0,0,389645,93.13004183769226
