Circuit,Type,Run_Mode,Dataset_Profile,Original_Gates,Final_Gates,Gates_Removed,Total_Red%,Area_Before_AND2,Area_After_AND2,Area_Saved_AND2,Area_Red%,Depth_Before,Depth_After,Depth_Red%,T_Parse(s),T_Filter(s),T_Encode(s),T_SAT(s),T_CEC(s),T_Total(s),SAT_Candidates,SAT_Checks,SAT_Query_SAT,SAT_Query_UNSAT,SAT_Timeouts,SAT_Abort_Reason,Initial_AND2,After_Structural_AND2,After_SAT_AND2,Structural_Removed_AND2,SAT_Induced_Removed_AND2,SAT_Accepted_SA0,SAT_Accepted_SA1,Rebuilds,SAT_Unresolved,SAT_Max_Budget,Checkpoint_Resume,TFI_Checks,TFI_Query_SAT,TFI_Query_UNSAT,TFI_Timeouts,TFI_Skipped,Window_Checks,Window_Query_SAT,Window_Query_UNSAT,Window_Timeouts,Window_Skipped,Window_Audit_Fail,Cone_Checks,Cone_Query_SAT,Cone_Query_UNSAT,Cone_Timeouts,Cone_Skipped,Global_Checks,Global_Query_SAT,Global_Query_UNSAT,Global_Timeouts,CEX_Prune_Events,CEX_Prune_Checked,CEX_Pruned,CEX_TFI_Prune_Events,CEX_TFI_Prune_Checked,CEX_TFI_Pruned,CEX_Pruning_Enabled,Verify
alu_8bit.aag,Benchmark,alg10_fast_save_cex_window,real_suites_planted,224,224,0,0.00%,224,224,0,0.00%,24,24,0.00%,0.0003,0.0000,0.0115,0.0803,0.0777,0.1214,448,168,162,0,6,,224,224,224,0,0,0,0,0,0,1000,1,40,40,0,0,0,42,42,0,0,0,0,34,34,0,0,0,52,46,0,6,119,15039,1222,40,2143,408,1,PASS
arbiter_8bit.aag,Benchmark,alg10_fast_save_cex_window,real_suites_planted,15,15,0,0.00%,15,15,0,0.00%,4,4,0.00%,0.0001,0.0000,0.0002,0.0014,0.0212,0.0049,30,37,37,0,0,,15,15,15,0,0,0,0,0,0,1000,1,8,8,0,0,0,10,10,0,0,0,0,10,10,0,0,0,9,9,0,0,26,351,61,8,82,22,1,PASS
c1355.aag,Benchmark,alg10_fast_save_cex_window,real_suites_planted,508,508,0,0.00%,508,508,0,0.00%,20,20,0.00%,0.0006,0.0000,0.0762,0.7007,0.0230,0.8891,1016,342,295,0,47,,508,508,508,0,0,0,0,0,0,1000,1,63,63,0,0,0,126,106,0,20,0,0,73,62,0,11,0,80,64,0,16,230,32955,2785,63,8618,953,1,PASS
c17.aag,Benchmark,alg10_fast_save_cex_window,real_suites_planted,6,6,0,0.00%,6,6,0,0.00%,3,3,0.00%,0.0001,0.0000,0.0001,0.0006,0.0212,0.0034,12,18,18,0,0,,6,6,6,0,0,0,0,0,0,1000,1,5,5,0,0,0,4,4,0,0,0,0,4,4,0,0,0,5,5,0,0,10,58,23,4,19,7,1,PASS
c1908.aag,Benchmark,alg10_fast_save_cex_window,real_suites_planted,410,410,0,0.00%,410,410,0,0.00%,25,25,0.00%,0.0005,0.0000,0.0397,0.4409,0.0222,0.5376,820,241,189,0,52,,410,410,410,0,0,0,0,0,0,1000,1,53,53,0,0,0,70,48,0,22,0,0,48,41,0,7,0,70,47,0,23,133,17567,2295,52,5429,767,1,PASS
c2670.aag,Benchmark,alg10_fast_save_cex_window,real_suites_planted,650,650,0,0.00%,650,650,0,0.00%,24,24,0.00%,0.0010,0.0000,0.1101,0.5327,0.0220,1.0015,1300,678,663,0,15,,650,650,650,0,0,0,0,0,0,1000,1,165,165,0,0,0,263,263,0,0,0,0,143,143,0,0,0,107,92,0,15,496,148019,3402,164,30975,1135,1,PASS
c3540.aag,Benchmark,alg10_fast_save_cex_window,real_suites_planted,952,948,4,0.42%,952,948,4,0.42%,38,38,0.00%,0.0010,0.0000,0.2830,6.5706,0.0454,7.2013,1896,877,532,0,345,,952,948,948,4,0,0,0,0,0,1000,1,160,160,0,0,0,198,189,0,9,0,0,229,70,0,159,0,290,113,0,177,370,119218,5148,159,28873,1736,1,PASS
c432.aag,Benchmark,alg10_fast_save_cex_window,real_suites_planted,125,121,4,3.20%,125,121,4,3.20%,25,25,0.00%,0.0003,0.0000,0.0061,0.0542,0.0311,0.0751,242,113,110,0,3,,125,121,121,4,0,0,0,0,0,1000,1,32,32,0,0,0,25,25,0,0,0,0,29,29,0,0,0,27,24,0,3,77,4691,648,31,1005,210,1,PASS
c499.aag,Benchmark,alg10_fast_save_cex_window,real_suites_planted,508,508,0,0.00%,508,508,0,0.00%,20,20,0.00%,0.0007,0.0000,0.0815,0.7601,0.0231,0.9824,1016,402,357,0,45,,508,508,508,0,0,0,0,0,0,1000,1,79,79,0,0,0,163,149,0,14,0,0,69,60,0,9,0,91,69,0,22,275,50354,2747,78,9926,937,1,PASS
c5315.aag,Benchmark,alg10_fast_save_cex_window,real_suites_planted,1508,1504,4,0.27%,1508,1504,4,0.27%,33,33,0.00%,0.0018,0.0000,0.1411,1.5654,0.0307,2.5877,3008,845,733,0,112,,1508,1504,1504,4,0,0,0,0,0,5000,1,181,181,0,0,0,312,303,0,9,0,0,170,155,0,15,0,182,94,0,88,550,275268,8448,180,48629,2827,1,PASS
