Test,Circuit,Variant,Purpose,Expected_ABC,Observed_ABC,Expected_Internal_SAT,Observed_Internal_SAT,Truth_Table,Result,Removed_Calc,SAT_Unresolved,CEX_Audit_Checked,CEX_Audit_False_Prunes,Window_Audit_Fail,Notes
roundtrip_write,benchmarks/c17.aag,,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,PASS,PASS,0,,,,,
zero_commit_strash,benchmarks/c17.aag,,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,PASS,PASS,0,,,,,
roundtrip_write,benchmarks/c432.aag,,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,SKIP,PASS,0,,,,,
zero_commit_strash,benchmarks/c432.aag,,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,SKIP,PASS,0,,,,,
algorithm_smoke,benchmarks/c17.aag,,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,PASS,PASS,0,,,,,
algorithm_smoke,benchmarks/c17.aag,,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,PASS,PASS,0,,,,,
algorithm_smoke,benchmarks/c17.aag,,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,PASS,PASS,0,,,,,
algorithm_smoke,benchmarks/c17.aag,,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,PASS,PASS,0,,,,,
algorithm_smoke,benchmarks/c17.aag,,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,PASS,PASS,0,,,,,
algorithm_smoke,benchmarks/c17.aag,,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,PASS,PASS,0,,,,,
algorithm_smoke,benchmarks/c17.aag,,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,PASS,PASS,0,,,,,
algorithm_smoke,benchmarks/c17.aag,,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,PASS,PASS,0,,,,,
algorithm_smoke,benchmarks/c17.aag,,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,PASS,PASS,0,,,,,
algorithm_smoke,benchmarks/c17.aag,,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,PASS,PASS,0,0,0,0,0,
algorithm_smoke,benchmarks/c432.aag,,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,SKIP,PASS,4,,,,,
algorithm_smoke,benchmarks/c432.aag,,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,SKIP,PASS,4,,,,,
algorithm_smoke,benchmarks/c432.aag,,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,SKIP,PASS,4,0,0,0,0,
alg10_variant,benchmarks/c432.aag,full_audited,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,SKIP,PASS,4,0,1088,0,0,
alg10_variant,benchmarks/c432.aag,window_isolated,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,SKIP,PASS,4,242,0,0,0,
alg10_variant,benchmarks/c432.aag,global_only_assumption_audit,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,SKIP,PASS,4,0,0,0,0,
planted_live_probe,results_optimized/correctness_stress/2026-05-22_18-40-54/aag_outputs/planted_live_c17.aag,planted_live_full_audited,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,PASS,PASS,9,0,39,0,0,
generated_small_probe,results_optimized/correctness_stress/2026-05-22_18-40-54/aag_outputs/generated_inputs/tiny_odc.aag,generated_full_audited,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,PASS,PASS,2,0,1,0,0,
generated_small_probe,results_optimized/correctness_stress/2026-05-22_18-40-54/aag_outputs/generated_inputs/tiny_tfi_constant.aag,generated_full_audited,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,PASS,PASS,3,0,0,0,0,
generated_small_probe,results_optimized/correctness_stress/2026-05-22_18-40-54/aag_outputs/generated_inputs/tiny_ladder.aag,generated_full_audited,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,PASS,PASS,8,0,0,0,0,
generated_small_probe,results_optimized/correctness_stress/2026-05-22_18-40-54/aag_outputs/generated_inputs/tiny_parallel.aag,generated_full_audited,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,PASS,PASS,1,0,0,0,0,
generated_small_probe,results_optimized/correctness_stress/2026-05-22_18-40-54/aag_outputs/generated_inputs/tiny_random_plain.aag,generated_full_audited,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,PASS,PASS,12,0,0,0,0,
generated_small_probe,results_optimized/correctness_stress/2026-05-22_18-40-54/aag_outputs/generated_inputs/tiny_random_stuck.aag,generated_full_audited,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,PASS,PASS,12,0,0,0,0,
generated_small_probe,results_optimized/correctness_stress/2026-05-22_18-40-54/aag_outputs/generated_inputs/tiny_random_idempotent.aag,generated_full_audited,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,PASS,PASS,11,0,0,0,0,
generated_small_probe,results_optimized/correctness_stress/2026-05-22_18-40-54/aag_outputs/generated_inputs/tiny_odc.aag,generated_window_isolated,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,PASS,PASS,2,0,0,0,0,
generated_small_probe,results_optimized/correctness_stress/2026-05-22_18-40-54/aag_outputs/generated_inputs/tiny_random_stuck.aag,generated_window_isolated,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,PASS,PASS,12,0,0,0,0,
checkpoint_consistency,benchmarks/c432.aag,continuous_vs_checkpoint_resume,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,,PASS,4,0,0,0,0,
negative_control_corrupt_output,benchmarks/c17.aag,,Negative control: intentionally corrupted output must be rejected,FAIL,FAIL,FAIL,FAIL,,PASS,,,,,,Expected FAIL in ABC/Internal columns; PASS means the corruption was caught
alg10_variant,benchmarks/c7552.aag,c7552_capped_audit,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,SKIP,PASS,0,1837,1541,0,0,
alg10_variant,benchmark_suites/epfl/epfl_random_control_router.aag,epfl_capped_audit,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS,PASS,SKIP,PASS,6,0,1529,0,0,
alg10_variant,benchmark_suites/epfl/epfl_arithmetic_sin.aag,epfl_capped_audit,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS_OR_TIMEOUT,TIMEOUT,SKIP,PASS,27,10362,367,0,0,
alg10_variant,benchmark_suites/epfl/epfl_arithmetic_sqrt.aag,epfl_capped_audit,Soundness check: optimized output must preserve behavior,PASS,PASS,PASS_OR_TIMEOUT,TIMEOUT,SKIP,PASS,0,49189,42,0,0,
