Circuit_Short,Proof tier,UNSAT commits
c432,TFI constancy,0.0
c7552,TFI constancy,0.0
c6288,TFI constancy,0.0
sin,TFI constancy,19.0
sqrt,TFI constancy,0.0
div,TFI constancy,8.0
log2,TFI constancy,13.0
mem_ctrl,TFI constancy,1.0
c432,Audited window,2.0
c7552,Audited window,7.0
c6288,Audited window,0.0
sin,Audited window,1.0
sqrt,Audited window,22.0
div,Audited window,74.0
log2,Audited window,0.0
mem_ctrl,Audited window,34.0
c432,Exact cone,0.0
c7552,Exact cone,0.0
c6288,Exact cone,0.0
sin,Exact cone,0.0
sqrt,Exact cone,0.0
div,Exact cone,0.0
log2,Exact cone,0.0
mem_ctrl,Exact cone,0.0
c432,Global miter,0.0
c7552,Global miter,0.0
c6288,Global miter,0.0
sin,Global miter,0.0
sqrt,Global miter,0.0
div,Global miter,0.0
log2,Global miter,0.0
mem_ctrl,Global miter,0.0
