Circuit,Type,Original,After_Strash,Final,Outputs_Removed,Strash_Red%,Total_Red%,Fuzz_Filt,SAT_Chk,Time,Verify
alu_8bit.aag,Benchmark,224,224,224,0,0.00%,0.00%,9,9,6.8668,PASS
arbiter_8bit.aag,Benchmark,15,15,15,0,0.00%,0.00%,8,8,0.6704,PASS
c1355.aag,Benchmark,508,508,508,0,0.00%,0.00%,32,32,16.3457,PASS
c17.aag,Benchmark,6,6,6,0,0.00%,0.00%,2,2,0.4348,PASS
c1908.aag,Benchmark,410,410,410,0,0.00%,0.00%,25,25,12.1694,PASS
c2670.aag,Benchmark,650,650,650,2,0.00%,0.00%,138,140,25.0301,PASS
c3540.aag,Benchmark,952,952,952,0,0.00%,0.00%,22,22,27.6463,PASS
c432.aag,Benchmark,125,125,125,0,0.00%,0.00%,7,7,4.3342,PASS
c499.aag,Benchmark,508,508,508,0,0.00%,0.00%,32,32,16.4330,PASS
c5315.aag,Benchmark,1508,1506,1508,0,0.13%,0.00%,116,123,0.9699,PASS
c6288.aag,Benchmark,1870,1870,1870,0,0.00%,0.00%,32,32,60.0005,PASS
c7552.aag,Benchmark,1693,1693,1693,0,0.00%,0.00%,108,108,55.3008,PASS
c880.aag,Benchmark,325,325,325,0,0.00%,0.00%,25,26,0.2489,PASS
ladder_logic.aag,Structural_Ladder,50,0,0,0,100.00%,100.00%,1,1,0.1465,PASS
parallel_struct.aag,Structural_Parallel,2,1,1,0,50.00%,50.00%,2,2,0.1896,PASS
random_idempotent.aag,Injected_Idem,3,3,3,0,0.00%,0.00%,1,1,0.7829,PASS
random_pure_1.aag,Pure_Random,6,4,5,0,33.33%,16.67%,1,1,0.3665,PASS
random_pure_2.aag,Pure_Random,4,3,3,0,25.00%,25.00%,1,1,0.3121,PASS
random_pure_3.aag,Pure_Random,3,3,3,0,0.00%,0.00%,1,1,0.2620,PASS
random_pure_4.aag,Pure_Random,2,2,2,0,0.00%,0.00%,1,1,0.2467,PASS
random_pure_5.aag,Pure_Random,6,6,6,0,0.00%,0.00%,1,1,0.3562,PASS
random_stuck.aag,Injected_Stuck,2,0,0,1,100.00%,100.00%,0,1,0.1927,PASS
